"Material Incidents of Discrimination and/or Harrassment - New York City
2016-17",,,,,,,,** Schools Closed at the end of the school year will not be included in this file.,,,,,,,,,,,,
"This report is a summary of data submitted to NYSED by public and charter schools regarding material incidents of harassment, bullying and discrimination on school grounds or a school function as required by the Dignity for All Students Act.",,,,,,,,,,,,,,,,,,,,
County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Nature Of Material Incidents Of Discrimination And/Or Harassment,,,,,,,,,,,,
,,,,,,,,Race,"Ethnic
Group","National
Origin",Color,Religion,Religious Practice,Disability,Gender,Sexual Orientation,Sex,Weight,Other,Total
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 53,307500013053,Junior-Senior High,NEW YORK CITY,Public,459,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 77,307500013077,Junior-Senior High,NEW YORK CITY,Public,278,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 140,307500013140,Elementary,NEW YORK CITY,Public,288,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 141,307500013141,Junior-Senior High,NEW YORK CITY,Public,353,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 231,307500013231,Elementary,NEW YORK CITY,Public,332,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 368,307500013368,K-12,NEW YORK CITY,Public,225,0,0,0,0,0,0,0,0,0,0,0,1,1
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 369 COY L COX SCHOOL,307500013369,K-12,NEW YORK CITY,Public,642,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 370,307500013370,Junior-Senior High,NEW YORK CITY,Public,241,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 371 LILLIAN L RASHKIS,307500013371,Senior High,NEW YORK CITY,Public,245,0,0,0,0,0,0,0,0,0,0,0,0,0
NYC CENTRAL OFFICE,NYC SPEC SCHOOLS - DIST 75,PS 372 CHILDREN'S SCHOOL (THE),307500013372,Elementary,NEW YORK CITY,Public,526,0,0,0,0,0,0,0,0,0,0,0,0,0
